subject,Q2.2_1,Q2.2_2,Q2.2_3,Q2.3_1,Q2.3_2,Q2.3_3,Q2.4_1,Q2.4_2,Q2.4_3,Q2.5_1,Q2.5_2,Q2.5_3,Q2.6_1,Q2.6_2,Q2.6_3,Q2.7_1,Q2.7_2,Q2.7_3,Q2.8_1,Q2.8_2,Q2.8_3,Q2.9_1,Q2.9_2,Q2.9_3,Q2.10_1,Q2.10_2,Q2.10_3,Q2.11_1,Q2.11_2,Q2.11_3,Q2.12_1,Q2.12_2,Q2.12_3,Q2.13_1,Q2.13_2,Q2.13_3,Q2.14_1,Q2.14_2,Q2.14_3,Q2.15_1,Q2.15_2,Q2.15_3,Q2.16_1,Q2.16_2,Q2.16_3,Q2.17_1,Q2.17_2,Q2.17_3,Q2.18_1,Q2.18_2,Q2.18_3,Q2.19_1,Q2.19_2,Q2.19_3,Q2.20_1,Q2.20_2,Q2.20_3,Q2.21_1,Q2.21_2,Q2.21_3,Q3.1,Q3.2,Q3.3_1,Q3.3_2,Q3.3_3,Q3.4_1,Q3.4_2,Q3.4_3,Q3.5_1,Q3.5_2,Q3.5_3,Q3.6_1,Q3.6_2,Q3.6_3,Q3.7_1,Q3.7_2,Q3.7_3,Q3.8_1,Q3.8_2,Q3.8_3,Q3.9_1,Q3.9_2,Q3.9_3,Q3.10_1,Q3.10_2,Q3.10_3,Q3.11_1,Q3.11_2,Q3.11_3,Q3.12_1,Q3.12_2,Q3.12_3,Q3.13_1,Q3.13_2,Q3.13_3,Q3.14_1,Q3.14_2,Q3.14_3,Q3.15_1,Q3.15_2,Q3.15_3,Q3.16_1,Q3.16_2,Q3.16_3,Q3.17_1,Q3.17_2,Q3.17_3,Q3.18_1,Q3.18_2,Q3.18_3,Q3.19_1,Q3.19_2,Q3.19_3,Q3.20_1,Q3.20_2,Q3.20_3,Q3.21_1,Q3.21_2,Q3.21_3,Q3.22_1,Q3.22_2,Q3.22_3,id
95,3,2,1,3,2,2,3,3,2,2,2,2,5,5,4,5,5,4,6,5,6,6,6,6,6,6,6,3,2,2,5,5,5,5,5,5,6,6,6,5,5,5,4,4,4,3,3,3,5,4,5,6,6,6,6,6,6,5,4,4,1,,6,6,6,4,4,3,3,3,3,5,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,4,6,6,5,5,5,5,6,6,6,6,6,6,5,5,5,3,3,3,4,4,4,6,6,6,6,6,6,3,3,3,44184
96,6,4,3,5,,3,5,5,4,6,4,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,4,6,5,4,6,6,6,6,6,6,6,6,6,6,6,6,5,3,1,5,4,3,6,6,5,6,6,5,6,6,5,1,NM,6,6,6,6,6,5,5,6,5,5,4,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,5,6,6,5,6,6,6,6,6,6,6,6,5,4,4,1,5,5,3,6,6,5,6,6,5,6,5,5,44098
97,6,3,1,6,3,3,6,4,2,6,3,1,6,6,3,6,6,4,6,6,5,6,6,6,6,5,3,4,3,2,6,3,1,6,3,2,6,5,6,6,3,2,6,5,3,4,3,1,5,3,2,6,5,3,6,6,6,6,2,1,1,DG,6,6,4,6,6,4,6,6,4,6,6,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6,6,4,6,6,4,6,6,5,6,6,6,6,6,6,6,6,5,6,6,5,6,6,6,6,6,6,6,6,6,6,6,5,44838
98,5,4,5,5,,4,5,5,4,6,5,5,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,5,5,4,4,4,3,4,4,4,6,6,6,6,6,6,5,4,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,5,1,GW,6,6,4,4,6,4,4,6,5,5,5,5,5,5,4,6,6,5,6,6,6,6,6,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,6,6,6,6,6,5,6,6,6,43289
99,4,0,0,2,0,0,,,,3,0,0,5,1,1,4,2,3,6,3,4,5,3,4,5,1,1,3,0,0,3,0,0,4,1,2,6,2,3,5,1,2,3,1,1,3,0,,3,1,1,4,1,2,6,3,5,1,0,,1,SN,1,0,0,0,0,0,1,0,,1,0,0,2,2,2,4,1,1,6,5,6,6,4,5,4,0,0,2,0,0,3,2,2,4,2,3,5,2,3,5,3,3,2,1,1,1,,,1,1,,3,2,2,6,5,6,1,,,44562
100,2,2,3,2,3,2,4,4,,3,2,3,5,6,5,3,3,4,3,3,3,6,6,6,3,4,3,6,6,6,4,6,4,3,2,3,5,5,5,2,2,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,4,3,4,1,CG,6,6,5,2,3,5,1,2,2,3,3,2,3,3,4,4,2,3,3,4,3,3,2,4,3,1,1,1,1,1,1,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,2,1,2,1,1,2,1,3,6,6,6,6,4,4,43824
101,4,3,2,3,2,2,4,3,1,3,1,1,6,3,2,6,5,6,6,6,6,6,5,3,6,3,3,2,1,0,6,5,6,4,2,1,6,4,6,6,6,5,6,5,6,2,2,3,5,3,5,6,6,6,6,6,6,4,2,3,1,ML,3,4,3,2,3,2,4,3,2,4,2,3,6,5,5,6,5,5,6,6,6,6,5,4,6,4,4,3,1,1,5,5,4,5,5,5,6,6,6,6,5,5,6,6,4,3,4,4,4,4,5,6,5,6,6,6,6,5,4,5,43701
102,4,4,3,3,,2,2,2,2,1,1,0,3,2,2,1,1,1,2,2,2,2,2,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,1,2,1,2,1,2,2,2,1,2,1,2,2,1,2,2,1,2,2,1,2,1,john doe,1,1,1,2,1,2,1,2,1,2,2,2,3,2,1,2,1,2,2,1,3,2,1,2,2,2,2,2,1,2,1,2,1,2,2,1,2,2,1,2,1,2,2,2,2,2,1,2,2,1,2,1,2,2,4,1,2,1,1,1,44038
103,4,3,3,3,3,3,4,4,3,4,4,5,3,3,2,4,4,4,5,4,4,5,3,3,3,3,3,2,2,3,2,2,1,3,3,2,3,3,3,3,3,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,MS ,4,4,4,3,3,4,5,4,4,3,3,3,5,5,5,5,5,5,5,4,4,5,4,4,3,3,4,3,3,3,3,3,3,4,4,3,4,5,5,4,4,5,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,3,3,44578
104,1,1,2,2,2,2,3,2,1,2,2,1,3,3,3,4,3,2,6,4,4,6,4,4,5,4,3,4,2,2,3,2,1,2,2,2,5,5,4,5,4,4,2,2,2,1,1,1,2,2,2,3,3,3,3,4,3,4,3,3,1,BW,2,2,2,3,4,2,1,0,0,3,1,2,4,3,1,5,4,5,6,4,5,6,5,4,3,5,5,3,3,4,4,3,4,4,5,4,5,4,5,4,5,4,4,5,3,2,1,3,3,3,5,4,5,6,5,6,6,3,4,4,44594
105,3,3,3,5,4,2,5,3,1,4,2,3,5,3,0,6,6,4,6,6,4,6,6,5,6,6,3,3,2,0,4,3,0,6,4,6,6,6,6,6,6,6,6,6,6,3,,0,3,1,0,4,3,2,6,3,2,6,6,5,1,MN,4,4,4,5,4,5,5,4,2,3,4,3,5,3,5,6,6,6,6,6,6,6,6,3,6,6,6,3,3,1,4,5,2,6,2,4,6,6,6,6,6,6,6,6,6,2,0,,3,2,2,4,2,4,6,3,5,6,4,4,44507
106,4,4,1,3,2,,4,4,,4,4,,5,5,,5,5,1,6,6,3,5,5,,4,4,,3,3,,4,4,,4,4,2,5,5,,5,5,,4,4,,3,3,,3,3,,4,4,1,4,4,2,4,4,3,1,MR,3,3,,2,2,,2,2,,2,2,,3,3,1,4,4,,6,6,2,4,4,,3,3,,3,3,,3,3,1,4,4,2,4,4,,4,4,,4,4,,2,2,,2,2,1,4,4,3,4,4,4,4,4,3,43837
107,4,4,4,5,5,5,4,4,4,4,4,4,6,6,5,6,6,6,6,6,6,6,6,6,5,6,6,2,0,0,4,3,4,5,4,5,6,6,6,5,5,4,5,5,5,2,0,2,4,4,4,6,5,5,6,5,5,4,3,3,1,BG,3,1,2,3,3,3,4,4,4,2,2,2,5,6,4,6,6,6,6,6,6,6,6,6,4,3,3,1,0,0,4,4,4,4,4,4,6,6,6,5,5,4,5,5,5,1,0,0,4,4,4,5,5,5,6,6,6,4,5,4,41965
108,5,2,0,2,5,1,6,6,1,4,6,1,6,5,2,6,5,1,6,6,3,6,5,3,6,6,6,6,6,5,4,2,1,4,2,3,6,6,3,6,6,1,4,5,3,1,6,2,4,5,4,6,5,4,6,0,6,6,6,1,1,AT,4,6,4,6,6,0,3,3,0,6,6,0,1,6,5,4,4,3,5,6,4,5,5,4,6,6,3,6,6,6,6,6,2,6,6,1,6,5,4,6,6,6,6,6,1,6,6,1,6,6,1,3,3,1,1,1,5,4,4,1,43889
109,5,4,4,4,2,2,5,3,2,4,2,1,6,4,3,6,4,2,6,6,6,6,6,6,4,3,2,4,3,2,5,4,3,5,4,3,6,5,4,5,5,4,4,4,2,4,3,3,5,4,4,5,5,5,6,6,6,4,3,2,1,LW,5,5,2,4,4,2,6,4,4,6,4,3,6,6,6,6,6,4,6,6,6,6,6,6,6,4,3,5,2,1,5,4,3,5,5,3,6,6,4,5,5,5,5,4,4,3,2,2,4,3,3,5,5,4,6,5,5,5,4,4,44739
110,4,3,4,4,3,3,6,5,6,4,4,4,6,6,6,6,6,6,6,6,5,6,5,5,5,5,4,6,5,5,5,4,5,5,4,4,6,6,5,5,5,5,5,5,4,3,3,3,4,4,5,5,5,6,6,5,6,3,4,5,1,SM,3,4,3,4,4,2,3,2,2,3,3,2,4,5,4,5,6,5,6,6,5,6,6,6,5,5,4,5,5,3,5,6,4,5,5,5,5,5,4,5,5,5,6,6,4,4,4,4,5,5,5,5,5,6,6,6,6,4,4,3,44770
111,3,3,1,3,3,1,5,2,1,2,2,1,4,3,3,5,3,3,6,3,4,6,3,4,5,2,1,3,1,1,4,2,3,4,2,1,4,3,3,2,2,1,3,2,2,2,2,2,3,3,3,5,3,6,5,4,6,5,1,2,1,EC,4,5,2,4,4,3,3,2,1,3,2,1,5,4,4,6,3,3,6,5,4,6,4,4,4,2,1,3,2,1,4,3,2,5,4,3,6,3,4,5,4,4,4,3,4,3,3,2,4,5,5,5,5,6,5,5,6,5,3,3,44409
112,3,4,6,2,1,1,4,4,5,3,4,3,6,5,6,6,5,6,6,6,6,6,6,6,5,4,4,3,2,2,3,2,3,3,3,3,4,3,3,3,3,2,3,3,4,3,3,4,3,3,4,4,4,5,5,4,6,5,5,4,1,SG,4,5,3,3,4,1,4,5,3,3,3,1,5,6,5,4,5,3,6,6,6,6,6,6,5,4,3,4,3,3,5,5,4,5,5,3,5,6,3,5,6,4,4,5,3,3,4,2,4,4,2,5,6,4,6,6,4,5,5,3,43728
113,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,6,6,6,5,5,5,6,6,6,5,5,5,5,5,5,3,3,3,4,4,4,5,5,5,6,6,6,5,5,5,1,KL,4,6,5,3,4,3,3,4,4,3,4,4,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,3,3,3,5,5,5,5,5,5,6,6,6,5,5,5,5,5,5,2,4,4,4,4,4,5,5,5,6,6,6,5,5,5,44605
114,4,2,,2,0,,5,,1,1,,1,5,3,,6,2,,6,6,6,6,6,6,6,2,1,4,,,3,2,,3,,,6,5,5,6,6,6,5,4,6,3,1,,3,2,,6,5,6,6,6,6,3,,,1,Carolina,5,5,0,6,4,,5,6,2,3,2,,6,6,1,6,6,5,6,6,6,6,6,6,6,4,,3,1,,5,4,3,4,4,4,6,6,6,6,2,,5,5,4,1,,,3,,,5,5,6,6,6,6,2,1,,44769
115,2,2,1,3,2,1,3,1,2,2,1,1,4,2,2,5,3,2,6,6,5,6,5,3,5,1,1,3,1,0,4,1,1,3,1,1,5,3,3,4,2,1,2,1,0,2,1,0,3,2,1,5,2,3,6,3,5,4,2,0,1,L.R.,3,3,3,4,4,2,4,3,2,3,3,1,4,4,3,5,6,4,6,6,4,6,6,5,4,2,0,2,0,0,3,2,2,3,2,2,5,6,4,4,3,0,4,2,0,2,1,0,3,3,2,5,5,4,6,6,5,3,2,0,44516
116,5,4,1,5,1,1,5,2,2,5,2,2,6,3,2,6,4,2,6,3,3,6,4,4,6,3,3,5,2,2,6,2,2,4,2,2,6,3,2,6,2,2,5,3,2,5,2,2,6,2,1,6,4,3,6,2,3,6,3,2,1,NSC,5,6,6,5,5,5,6,5,4,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,5,5,5,6,6,6,5,5,5,6,5,6,6,5,5,6,5,5,6,5,5,44515
117,5,5,5,4,1,0,6,5,5,6,5,6,5,5,5,6,5,5,6,5,6,6,6,6,5,5,6,5,4,0,5,5,4,5,4,4,6,5,5,6,5,5,5,4,2,5,5,5,5,5,5,6,6,6,6,6,6,5,5,4,1,CP,5,6,6,5,4,1,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,4,6,5,4,5,5,4,6,5,6,6,6,6,6,5,5,5,5,5,5,5,5,6,6,5,6,6,5,6,5,5,44577
118,3,5,4,4,3,2,5,2,1,2,4,2,6,5,5,6,3,1,6,4,2,6,3,2,6,3,1,3,1,1,2,2,3,5,3,5,6,3,2,6,6,6,6,6,5,2,1,1,4,2,3,5,3,5,6,5,5,3,2,1,1,EL,5,5,2,3,5,1,3,5,1,4,4,2,6,5,3,6,6,2,6,6,5,6,6,5,3,2,1,2,1,1,4,4,2,3,2,3,6,5,2,6,6,5,5,4,2,1,1,1,2,2,1,5,5,2,6,5,5,2,2,1,43932
119,2,3,3,3,3,3,5,5,4,5,5,4,6,6,5,6,6,5,6,6,6,6,6,6,6,6,5,5,5,4,6,6,5,6,6,5,6,6,6,6,6,5,6,6,6,4,4,2,4,4,2,5,5,4,6,6,6,5,5,4,1,SO,4,4,4,5,5,4,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,6,6,6,5,5,5,6,6,6,6,6,6,6,6,6,4,4,4,5,5,5,6,6,6,6,6,6,5,5,5,44608
120,5,6,5,5,6,4,4,6,4,5,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,6,6,4,6,5,4,6,5,6,6,6,6,6,6,6,6,6,5,6,6,5,6,6,6,6,6,6,6,6,6,6,6,1,HZ,5,6,3,5,5,1,5,5,4,4,5,4,6,6,3,6,6,3,6,6,6,6,6,6,5,5,2,5,6,2,5,6,3,6,6,6,6,6,5,6,6,4,5,5,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,43294
121,3,5,2,3,5,1,6,6,6,5,4,2,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,3,1,,3,5,2,5,4,2,6,6,6,6,6,6,5,5,2,2,2,,4,3,1,6,6,6,6,6,6,5,5,3,1,H.A,6,6,,5,6,2,6,6,2,5,3,,5,6,3,6,6,4,6,6,6,6,6,6,6,6,2,3,0,0,6,5,3,5,5,,6,5,5,5,3,3,4,3,,4,0,,5,3,,5,5,3,6,6,6,4,4,2,43798
122,2,3,3,,1,1,4,6,6,4,6,6,5,6,6,6,6,6,6,6,6,6,4,4,6,6,6,2,3,3,1,1,1,2,2,2,5,3,3,5,3,3,3,2,2,1,2,2,2,2,2,3,2,3,5,3,3,5,4,4,1,IOM,3,6,6,3,6,6,1,6,6,6,6,6,6,6,6,6,6,6,6,4,4,6,3,3,4,3,3,2,4,4,4,3,3,4,3,3,6,4,4,6,3,3,4,3,3,2,4,4,3,4,4,5,6,6,6,6,6,4,6,6,44820
123,5,4,1,4,,2,6,4,3,3,1,1,6,5,4,6,5,5,6,6,,6,6,6,5,4,4,2,0,0,3,3,3,6,5,5,6,6,6,5,4,4,3,3,3,2,2,2,4,4,4,6,6,6,6,6,6,6,4,4,1,crl,4,2,1,2,0,0,6,4,3,6,3,2,6,4,4,6,4,4,6,6,6,6,6,6,6,4,3,1,0,0,6,3,3,6,5,4,6,6,6,5,4,4,4,3,3,2,1,0,3,2,2,5,4,4,6,5,5,6,3,3,43850
124,4,6,5,4,5,4,5,6,4,4,5,4,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,4,5,3,5,5,5,5,6,5,6,6,6,6,6,6,6,6,6,4,6,6,5,6,6,6,6,6,6,6,6,5,6,6,1,PD,4,4,3,4,4,2,4,4,4,3,4,2,4,4,4,5,5,6,6,6,6,6,6,6,5,5,3,3,3,2,3,4,5,4,4,4,6,6,6,6,6,6,5,5,5,2,2,3,3,3,4,5,6,6,6,6,6,5,5,5,44543
125,4,5,5,5,4,3,3,1,2,2,1,1,6,5,5,5,4,5,6,5,6,6,5,5,4,3,2,2,0,,5,5,5,4,4,4,6,5,5,5,4,4,4,3,3,1,1,2,3,2,2,5,4,4,6,5,6,3,3,3,1,J.L.,5,5,0,3,2,2,3,1,1,3,2,2,5,5,5,5,5,5,6,6,4,6,6,6,3,3,3,4,3,3,4,4,4,3,3,3,6,5,5,5,4,4,4,4,4,1,,,2,2,2,4,4,4,6,5,5,6,5,5,44494
126,4,4,4,4,3,3,4,4,3,2,1,0,5,5,5,6,6,6,6,6,6,6,6,5,5,5,4,3,2,2,4,4,3,5,5,5,6,6,6,5,5,6,5,5,4,1,2,1,2,2,2,4,4,4,5,6,6,4,4,3,1,AP,5,4,4,5,5,3,4,2,1,3,3,1,6,6,5,6,6,6,6,6,6,6,6,6,5,5,4,3,2,2,4,4,3,5,5,5,6,6,6,6,5,6,5,5,5,2,1,1,3,3,3,5,5,5,6,5,6,5,5,6,43203
127,3,3,3,2,2,3,4,4,4,3,3,3,5,5,5,5,5,5,6,6,6,6,6,6,5,5,5,3,3,3,4,4,4,4,4,4,6,6,6,5,5,5,4,4,4,2,1,1,3,3,3,4,4,4,6,5,5,6,6,6,1,BH,4,4,4,2,0,0,3,1,1,3,2,2,4,6,6,5,4,4,6,6,6,6,6,6,5,4,4,3,1,1,5,3,3,4,3,3,6,6,6,6,5,5,5,4,5,1,1,1,2,1,1,3,2,2,5,4,4,5,4,5,42697
128,3,3,2,2,2,1,3,2,1,3,3,1,4,4,4,4,4,4,6,6,6,6,5,6,5,4,5,3,3,3,4,4,4,3,3,3,6,5,6,5,6,4,4,3,4,2,1,0,3,2,2,4,4,3,5,6,3,3,2,1,1,M D,4,5,3,4,4,3,4,4,3,4,4,4,5,6,4,5,6,4,6,5,4,6,5,4,5,5,4,4,4,3,5,4,4,4,3,3,5,5,4,5,5,6,3,3,2,2,2,3,3,3,3,4,4,3,5,5,4,3,2,2,44455
129,3,2,3,4,4,1,4,5,2,3,4,1,5,5,3,6,6,2,6,6,3,6,6,3,5,5,1,4,5,2,4,5,2,5,4,1,5,5,2,4,5,1,5,5,2,3,3,0,4,4,2,5,3,2,5,3,2,5,5,1,1,CR,4,5,1,5,5,1,5,5,1,4,4,1,5,5,1,5,6,1,6,6,1,6,6,1,5,5,1,5,5,1,5,6,1,5,5,1,6,6,1,5,5,1,5,5,1,4,4,1,4,4,1,5,5,1,6,6,1,5,5,1,41285
130,6,3,1,5,,,6,6,6,6,6,1,6,6,3,6,6,6,6,6,6,6,6,6,6,6,3,6,5,3,6,4,4,6,2,5,6,4,3,6,5,2,6,6,6,6,6,,6,6,6,6,4,5,6,5,4,6,5,3,1,BP,6,6,,4,4,3,6,6,2,6,6,6,6,6,6,6,6,6,6,6,,6,6,6,6,6,,6,1,,6,6,,4,5,6,6,6,2,6,6,6,3,6,4,5,6,6,6,3,6,6,4,6,6,2,6,1,,,44855
131,4,5,5,4,5,3,4,5,4,4,4,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6,6,5,5,5,5,6,6,6,6,6,5,6,6,5,5,5,4,5,5,4,6,6,6,6,6,6,4,5,4,1,KE,4,5,4,4,4,3,4,4,3,4,4,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,4,5,6,4,5,5,5,6,6,6,6,6,5,6,6,5,5,5,3,5,6,4,6,6,6,6,6,6,5,5,3,40870
132,2,1,1,1,1,,3,2,2,1,1,1,6,5,5,6,5,5,6,6,6,6,6,6,5,4,4,1,1,1,1,1,1,1,1,1,6,6,6,5,5,5,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,1,1,1,1,KV,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,43563
133,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,PK,5,6,6,4,6,6,4,3,3,4,2,1,5,6,4,6,4,1,6,3,2,6,4,3,4,1,1,3,,,6,6,1,4,2,2,6,,,6,6,3,3,1,3,,,,3,,,6,6,6,6,6,6,5,3,3,43569
134,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,1,NS,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,45008
135,5,5,4,5,,2,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,4,4,3,4,2,2,5,4,4,4,3,3,6,6,6,6,6,6,5,4,4,4,2,1,4,3,3,5,4,4,5,5,5,4,3,3,1,DR,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,4,3,3,6,5,5,5,4,4,6,6,6,6,6,5,5,5,5,5,5,4,5,5,5,5,5,5,6,6,6,5,4,4,44830
136,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,4,5,5,2,3,3,4,5,4,6,6,6,6,6,6,6,6,6,1,KR,2,2,2,3,3,3,4,5,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,3,3,3,4,4,4,3,3,3,6,6,6,5,5,5,5,5,5,1,1,1,4,5,5,6,6,6,6,6,6,5,5,5,42116
137,4,4,4,4,,1,5,5,4,5,5,5,6,5,5,6,6,5,6,6,6,6,6,6,6,6,6,4,2,1,6,6,5,6,6,5,6,6,6,5,5,5,6,6,5,4,4,3,5,5,5,5,5,5,6,6,6,3,3,2,1,Georgia ,5,6,,4,2,,5,6,1,5,3,,6,5,3,6,6,2,6,6,6,6,6,6,6,2,,4,3,,6,6,2,6,6,3,6,6,3,6,6,2,6,6,6,5,6,1,6,6,4,6,6,3,6,6,5,6,5,,45021
138,4,5,2,2,2,3,5,4,3,5,3,3,6,5,5,6,3,4,6,3,5,6,3,6,6,3,4,3,1,1,5,6,5,5,5,5,6,5,5,5,3,6,5,4,4,1,2,2,1,2,2,3,2,2,4,3,3,5,4,4,1,MC,1,2,2,3,3,0,3,3,1,2,2,1,3,2,3,4,4,3,6,4,3,6,3,6,5,5,3,1,2,0,5,3,2,4,4,4,6,3,1,5,6,4,4,4,2,1,1,1,2,2,1,3,3,4,6,3,5,5,3,1,44542
139,6,6,2,6,3,4,3,3,2,3,6,2,6,6,4,6,,0,6,,6,6,3,6,6,6,1,6,5,,3,3,3,4,2,3,6,6,2,6,6,,6,5,3,6,2,,6,2,3,6,,,6,,,6,,,1,BB,5,6,0,5,5,0,6,6,,3,6,,6,6,,6,5,,6,6,4,6,5,5,6,6,1,3,6,0,6,6,1,6,6,1,6,3,1,6,6,,6,6,0,6,6,1,6,6,2,6,6,4,6,6,6,6,6,3,44547
140,5,6,6,4,4,4,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,3,3,3,4,4,4,6,6,6,6,6,6,4,4,4,3,3,3,3,3,3,5,4,4,6,5,5,4,4,4,1,JBP,4,6,6,5,6,6,4,6,6,4,6,6,5,6,6,5,6,6,6,6,6,6,6,6,6,6,6,5,6,6,5,6,6,5,6,6,6,6,6,6,6,6,5,6,6,3,3,3,5,5,5,5,5,5,5,5,5,5,6,6,44585
141,3,2,4,,0,,2,,2,2,,5,3,,2,6,5,5,6,6,6,6,6,6,6,6,6,5,6,4,3,4,2,4,4,4,6,6,5,1,1,1,3,3,4,,,,2,,,4,,,5,,,2,,,1,LL,4,5,5,6,4,4,5,5,5,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,5,6,6,5,6,6,4,5,5,6,6,6,6,6,6,4,5,6,4,5,6,5,6,6,5,6,6,5,6,6,4,5,6,43317
142,3,3,2,2,,2,5,5,2,4,3,2,6,5,1,4,3,1,6,6,6,6,6,6,5,5,3,3,2,1,4,4,4,4,4,3,5,4,3,3,3,3,3,3,2,2,2,1,4,3,3,5,4,4,6,6,6,4,3,2,1,CC,2,2,2,2,2,1,1,1,0,1,1,0,3,3,3,2,2,2,6,6,6,6,6,6,4,4,2,2,2,1,3,2,2,4,4,3,4,4,4,3,3,2,4,4,3,1,1,1,2,2,2,4,4,4,6,6,6,2,2,1,44626
143,3,5,3,3,,2,3,2,1,2,1,1,5,6,4,5,5,3,6,6,6,6,5,4,5,4,3,3,2,2,5,5,4,5,4,4,6,6,5,5,5,5,4,5,6,3,5,4,5,6,6,6,6,6,6,6,6,4,5,4,1,AB,5,5,5,4,4,4,3,5,4,2,3,2,5,6,4,5,5,4,6,5,5,6,5,5,5,5,3,4,5,3,6,6,5,5,5,3,6,6,6,6,5,4,4,5,3,3,5,2,4,4,3,5,5,4,6,6,5,4,5,3,44764
144,2,3,5,2,2,1,4,4,3,2,5,3,6,4,6,5,5,5,6,6,6,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,6,6,6,5,5,5,5,5,5,3,3,3,5,5,5,6,6,6,6,6,6,4,4,4,1,JH,4,5,5,4,4,3,4,5,2,1,1,1,2,4,4,4,4,5,6,6,6,6,6,6,4,4,5,3,3,3,3,3,4,3,3,4,6,6,6,5,5,5,5,5,5,1,1,1,2,2,2,5,5,6,6,6,6,3,4,3,44573
